SampleID,TubeID,miceID,IP,batch,sex,Sampletype,cage,genotype,genotype_nb,age_harvested,food,Selected
7958a-3480,#3480,#10,7958a,/,M,Feces,#1,Dp(16)1Yey/+,1,#07,CD,1
7958a-3481,#3481,#12,7958a,/,M,Feces,#1,+/+,0,#07,CD,1
7958a-3482,#3482,#13,7958a,/,M,Feces,#1,Dp(16)1Yey/+,1,#07,CD,1
7958a-3483,#3483,#15,7958a,/,M,Feces,#1,+/+,0,#07,CD,1
7958a-3484,#3484,#67,7958a,/,M,Feces,#2,Dp(16)1Yey/+,1,#07,CD,1
7958a-3485,#3485,#73,7958a,/,M,Feces,#2,+/+,0,#07,CD,1
7958a-3486,#3486,#89,7958a,/,M,Feces,#3,+/+,0,#07,CD,1
7958a-3487,#3487,#90,7958a,/,M,Feces,#3,+/+,0,#07,CD,1
7958a-3488,#3488,#104,7958a,/,M,Feces,#3,Dp(16)1Yey/+,1,#07,CD,1
7958a-3489,#3489,#105,7958a,/,M,Feces,#3,Dp(16)1Yey/+,1,#07,CD,1
7958a-3490,#3490,#96,7958a,/,M,Feces,#7,+/+,0,#07,CD,1
7958a-3491,#3491,#103,7958a,/,M,Feces,#7,+/+,0,#07,CD,1
7958a-3492,#3492,#104a,7958a,/,M,Feces,#7,Dp(16)1Yey/+,1,#07,CD,1
7958a-3493,#3493,#109,7958a,/,M,Feces,#7,Dp(16)1Yey/+,1,#07,CD,1
7958a-3494,#3494,#1,7958a,/,F,Feces,#8,+/+,0,#07,CD,1
7958a-3495,#3495,#2,7958a,/,F,Feces,#8,Dp(16)1Yey/+,1,#07,CD,1
7958a-3496,#3496,#5,7958a,/,F,Feces,#9,+/+,0,#07,CD,1
7958a-3497,#3497,#6,7958a,/,F,Feces,#9,+/+,0,#07,CD,1
7958a-3498,#3498,#8,7958a,/,F,Feces,#9,Dp(16)1Yey/+,1,#07,CD,1
7958a-3499,#3499,#9,7958a,/,F,Feces,#9,Dp(16)1Yey/+,1,#07,CD,1
7958a-3500,#3500,#21,7958a,/,F,Feces,#10,+/+,0,#07,CD,1
7958a-3501,#3501,#22,7958a,/,F,Feces,#10,+/+,0,#07,CD,1
7958a-3502,#3502,#62,7958a,/,F,Feces,#10,Dp(16)1Yey/+,1,#07,CD,1
7958a-3503,#3503,#63,7958a,/,F,Feces,#10,Dp(16)1Yey/+,1,#07,CD,1
7958a-3504,#3504,#71,7958a,/,F,Feces,#13,Dp(16)1Yey/+,1,#07,CD,1
7958a-3505,#3505,#81,7958a,/,F,Feces,#13,Dp(16)1Yey/+,1,#07,CD,1
7958a-3506,#3506,#100,7958a,/,F,Feces,#13,+/+,0,#07,CD,1
7958a-3507,#3507,#102,7958a,/,F,Feces,#13,+/+,0,#07,CD,
7958a-3508,#3508,#10,7958a,/,M,Feces,#1,Dp(16)1Yey/+,1,#30,CD,
7958a-3509,#3509,#12,7958a,/,M,Feces,#1,+/+,0,#30,CD,
7958a-3510,#3510,#13,7958a,/,M,Feces,#1,Dp(16)1Yey/+,1,#30,CD,
7958a-3511,#3511,#15,7958a,/,M,Feces,#1,+/+,0,#30,CD,
7958a-3512,#3512,#67,7958a,/,M,Feces,#2,Dp(16)1Yey/+,1,#30,CD,
7958a-3513,#3513,#73,7958a,/,M,Feces,#2,+/+,0,#30,CD,
7958a-3514,#3514,#89,7958a,/,M,Feces,#3,+/+,0,#30,CD,
7958a-3515,#3515,#90,7958a,/,M,Feces,#3,+/+,0,#30,CD,
7958a-3516,#3516,#104,7958a,/,M,Feces,#3,Dp(16)1Yey/+,1,#30,CD,
7958a-3517,#3517,#105,7958a,/,M,Feces,#3,Dp(16)1Yey/+,1,#30,CD,
7958a-3518,#3518,#96,7958a,/,M,Feces,#7,+/+,0,#30,CD,
7958a-3519,#3519,#103,7958a,/,M,Feces,#7,+/+,0,#30,CD,
7958a-3520,#3520,#104a,7958a,/,M,Feces,#7,Dp(16)1Yey/+,1,#30,CD,
7958a-3521,#3521,#109,7958a,/,M,Feces,#7,Dp(16)1Yey/+,1,#30,CD,
7958a-3522,#3522,#1,7958a,/,F,Feces,#8,+/+,0,#30,CD,
7958a-3523,#3523,#2,7958a,/,F,Feces,#8,Dp(16)1Yey/+,1,#30,CD,1
7958a-3524,#3524,#5,7958a,/,F,Feces,#9,+/+,0,#30,CD,
7958a-3525,#3525,#6,7958a,/,F,Feces,#9,+/+,0,#30,CD,
7958a-3526,#3526,#8,7958a,/,F,Feces,#9,Dp(16)1Yey/+,1,#30,CD,
7958a-3527,#3527,#9,7958a,/,F,Feces,#9,Dp(16)1Yey/+,1,#30,CD,
7958a-3528,#3528,#21,7958a,/,F,Feces,#10,+/+,0,#30,CD,
7958a-3529,#3529,#22,7958a,/,F,Feces,#10,+/+,0,#30,CD,
7958a-3530,#3530,#62,7958a,/,F,Feces,#10,Dp(16)1Yey/+,1,#30,CD,
7958a-3531,#3531,#63,7958a,/,F,Feces,#10,Dp(16)1Yey/+,1,#30,CD,
7958a-3532,#3532,#71,7958a,/,F,Feces,#13,Dp(16)1Yey/+,1,#30,CD,
7958a-3533,#3533,#81,7958a,/,F,Feces,#13,Dp(16)1Yey/+,1,#30,CD,
7958a-3534,#3534,#100,7958a,/,F,Feces,#13,+/+,0,#30,CD,
7958a-3535,#3535,#102,7958a,/,F,Feces,#13,+/+,0,#30,CD,
0E+00,#3536,#30,7958e,A,F,Feces,#1,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3537,#31,7958e,A,F,Feces,#1,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3538,#1032,7958e,A,F,Feces,#1,+/+,0,#07,CD,
0E+00,#3539,#37,7958e,A,F,Feces,#1,+/+,0,#07,CD,
0E+00,#3540,#49,7958e,A,F,Feces,#2,+/+,0,#07,CD,
0E+00,#3541,#1051,7958e,A,F,Feces,#2,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3542,#1052,7958e,A,F,Feces,#2,+/+,0,#07,CD,
0E+00,#3543,#21,7958e,A,F,Feces,#2,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3544,#65,7958e,C,F,Feces,#5,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3545,#66,7958e,C,F,Feces,#5,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3546,#68,7958e,C,F,Feces,#5,+/+,0,#07,CD,
0E+00,#3547,#69,7958e,C,F,Feces,#5,+/+,0,#07,CD,
0E+00,#3548,#28,7958e,D,F,Feces,#7,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3549,#60,7958e,D,F,Feces,#7,+/+,0,#07,CD,
0E+00,#3550,#1034,7958e,E,M,Feces,#9,+/+,0,#07,CD,
0E+00,#3551,#35,7958e,E,M,Feces,#10,+/+,0,#07,CD,
0E+00,#3552,#100,7958e,E,M,Feces,#10,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3553,#101,7958e,E,M,Feces,#10,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3554,#39,7958e,F,M,Feces,#11,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3555,#82,7958e,F,M,Feces,#12,+/+,0,#07,CD,
0E+00,#3556,#182,7958e,F,M,Feces,#12,+/+,0,#07,CD,
0E+00,#3557,#84,7958e,F,M,Feces,#12,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3558,#32,7958e,G,M,Feces,#13,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3559,#34,7958e,G,M,Feces,#14,+/+,0,#07,CD,
0E+00,#3560,#50,7958e,G,M,Feces,#14,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3561,#51,7958e,G,M,Feces,#14,+/+,0,#07,CD,
0E+00,#3562,#62,7958e,H,M,Feces,#16,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3563,#16,7958e,H,M,Feces,#16,+/+,0,#07,CD,
0E+00,#3564,#30,7958e,A,F,Feces,#1,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3565,#31,7958e,A,F,Feces,#1,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3566,#1032,7958e,A,F,Feces,#1,+/+,0,#30,HFD,
0E+00,#3567,#37,7958e,A,F,Feces,#1,+/+,0,#30,HFD,1
0E+00,#3568,#49,7958e,A,F,Feces,#2,+/+,0,#30,HFD,1
0E+00,#3569,#1051,7958e,A,F,Feces,#2,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3570,#1052,7958e,A,F,Feces,#2,+/+,0,#30,HFD,1
0E+00,#3571,#21,7958e,A,F,Feces,#2,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3572,#65,7958e,C,F,Feces,#5,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3573,#66,7958e,C,F,Feces,#5,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3574,#68,7958e,C,F,Feces,#5,+/+,0,#30,HFD,1
0E+00,#3575,#69,7958e,C,F,Feces,#5,+/+,0,#30,HFD,1
0E+00,#3576,#28,7958e,D,F,Feces,#7,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3577,#60,7958e,D,F,Feces,#7,+/+,0,#30,HFD,1
0E+00,#3578,#1034,7958e,E,M,Feces,#9,+/+,0,#30,HFD,1
0E+00,#3579,#35,7958e,E,M,Feces,#10,+/+,0,#30,HFD,1
0E+00,#3580,#100,7958e,E,M,Feces,#10,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3581,#101,7958e,E,M,Feces,#10,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3582,#39,7958e,F,M,Feces,#11,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3583,#82,7958e,F,M,Feces,#12,+/+,0,#30,HFD,1
0E+00,#3584,#182,7958e,F,M,Feces,#12,+/+,0,#30,HFD,1
0E+00,#3585,#84,7958e,F,M,Feces,#12,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3586,#32,7958e,G,M,Feces,#13,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3587,#34,7958e,G,M,Feces,#14,+/+,0,#30,HFD,1
0E+00,#3588,#50,7958e,G,M,Feces,#14,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3589,#51,7958e,G,M,Feces,#14,+/+,0,#30,HFD,
0E+00,#3590,#62,7958e,H,M,Feces,#16,Dp(16)1Yey/+,1,#30,HFD,1
0E+00,#3591,#16,7958e,H,M,Feces,#16,+/+,0,#30,HFD,
7958a-3592,#3592,#10,7958a,/,M,Saliva,#1,Dp(16)1Yey/+,1,#14,CD,
7958a-3593,#3593,#12,7958a,/,M,Saliva,#1,+/+,0,#14,CD,
7958a-3594,#3594,#13,7958a,/,M,Saliva,#1,Dp(16)1Yey/+,1,#14,CD,
7958a-3595,#3595,#15,7958a,/,M,Saliva,#1,+/+,0,#14,CD,
7958a-3596,#3596,#67,7958a,/,M,Saliva,#2,Dp(16)1Yey/+,1,#14,CD,
7958a-3597,#3597,#73,7958a,/,M,Saliva,#2,+/+,0,#14,CD,
7958a-3598,#3598,#89,7958a,/,M,Saliva,#3,+/+,0,#14,CD,
7958a-3599,#3599,#90,7958a,/,M,Saliva,#3,+/+,0,#14,CD,
7958a-3600,#3600,#104,7958a,/,M,Saliva,#3,Dp(16)1Yey/+,1,#14,CD,
7958a-3601,#3601,#105,7958a,/,M,Saliva,#3,Dp(16)1Yey/+,1,#14,CD,
7958a-3602,#3602,#96,7958a,/,M,Saliva,#7,+/+,0,#14,CD,
7958a-3603,#3603,#103,7958a,/,M,Saliva,#7,+/+,0,#14,CD,
7958a-3604,#3604,#104a,7958a,/,M,Saliva,#7,Dp(16)1Yey/+,1,#14,CD,
7958a-3605,#3605,#109,7958a,/,M,Saliva,#7,Dp(16)1Yey/+,1,#14,CD,
7958a-3606,#3606,#1,7958a,/,F,Saliva,#8,+/+,0,#14,CD,
7958a-3607,#3607,#2,7958a,/,F,Saliva,#8,Dp(16)1Yey/+,1,#14,CD,
7958a-3608,#3608,#5,7958a,/,F,Saliva,#9,+/+,0,#14,CD,
7958a-3609,#3609,#6,7958a,/,F,Saliva,#9,+/+,0,#14,CD,
7958a-3610,#3610,#8,7958a,/,F,Saliva,#9,Dp(16)1Yey/+,1,#14,CD,
7958a-3611,#3611,#9,7958a,/,F,Saliva,#9,Dp(16)1Yey/+,1,#14,CD,
7958a-3612,#3612,#21,7958a,/,F,Saliva,#10,+/+,0,#14,CD,
7958a-3613,#3613,#22,7958a,/,F,Saliva,#10,+/+,0,#14,CD,
7958a-3614,#3614,#62,7958a,/,F,Saliva,#10,Dp(16)1Yey/+,1,#14,CD,
7958a-3615,#3615,#63,7958a,/,F,Saliva,#10,Dp(16)1Yey/+,1,#14,CD,
7958a-3616,#3616,#71,7958a,/,F,Saliva,#13,Dp(16)1Yey/+,1,#14,CD,
7958a-3617,#3617,#81,7958a,/,F,Saliva,#13,Dp(16)1Yey/+,1,#14,CD,
7958a-3618,#3618,#100,7958a,/,F,Saliva,#13,+/+,0,#14,CD,
7958a-3619,#3619,#102,7958a,/,F,Saliva,#13,+/+,0,#14,CD,
7958a-3620,#3620,#10,7958a,/,M,Saliva,#1,Dp(16)1Yey/+,1,#30,CD,
7958a-3621,#3621,#12,7958a,/,M,Saliva,#1,+/+,0,#30,CD,
7958a-3622,#3622,#13,7958a,/,M,Saliva,#1,Dp(16)1Yey/+,1,#30,CD,
7958a-3623,#3623,#15,7958a,/,M,Saliva,#1,+/+,0,#30,CD,
7958a-3624,#3624,#67,7958a,/,M,Saliva,#2,Dp(16)1Yey/+,1,#30,CD,
7958a-3625,#3625,#73,7958a,/,M,Saliva,#2,+/+,0,#30,CD,
7958a-3626,#3626,#89,7958a,/,M,Saliva,#3,+/+,0,#30,CD,
7958a-3627,#3627,#90,7958a,/,M,Saliva,#3,+/+,0,#30,CD,
7958a-3628,#3628,#104,7958a,/,M,Saliva,#3,Dp(16)1Yey/+,1,#30,CD,
7958a-3629,#3629,#105,7958a,/,M,Saliva,#3,Dp(16)1Yey/+,1,#30,CD,
7958a-3630,#3630,#96,7958a,/,M,Saliva,#7,+/+,0,#30,CD,
7958a-3631,#3631,#103,7958a,/,M,Saliva,#7,+/+,0,#30,CD,
7958a-3632,#3632,#104a,7958a,/,M,Saliva,#7,Dp(16)1Yey/+,1,#30,CD,
7958a-3633,#3633,#109,7958a,/,M,Saliva,#7,Dp(16)1Yey/+,1,#30,CD,
7958a-3634,#3634,#1,7958a,/,F,Saliva,#8,+/+,0,#30,CD,
7958a-3635,#3635,#2,7958a,/,F,Saliva,#8,Dp(16)1Yey/+,1,#30,CD,
7958a-3636,#3636,#5,7958a,/,F,Saliva,#9,+/+,0,#30,CD,
7958a-3637,#3637,#6,7958a,/,F,Saliva,#9,+/+,0,#30,CD,
7958a-3638,#3638,#8,7958a,/,F,Saliva,#9,Dp(16)1Yey/+,1,#30,CD,
7958a-3639,#3639,#9,7958a,/,F,Saliva,#9,Dp(16)1Yey/+,1,#30,CD,
7958a-3640,#3640,#21,7958a,/,F,Saliva,#10,+/+,0,#30,CD,
7958a-3641,#3641,#22,7958a,/,F,Saliva,#10,+/+,0,#30,CD,
7958a-3642,#3642,#62,7958a,/,F,Saliva,#10,Dp(16)1Yey/+,1,#30,CD,
7958a-3643,#3643,#63,7958a,/,F,Saliva,#10,Dp(16)1Yey/+,1,#30,CD,
7958a-3644,#3644,#71,7958a,/,F,Saliva,#13,Dp(16)1Yey/+,1,#30,CD,
7958a-3645,#3645,#81,7958a,/,F,Saliva,#13,Dp(16)1Yey/+,1,#30,CD,
7958a-3646,#3646,#100,7958a,/,F,Saliva,#13,+/+,0,#30,CD,
7958a-3647,#3647,#102,7958a,/,F,Saliva,#13,+/+,0,#30,CD,
0E+00,#3648,#30,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3649,#31,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3650,#1032,7958e,A,F,Saliva,#1,+/+,0,#07,CD,
0E+00,#3651,#37,7958e,A,F,Saliva,#1,+/+,0,#07,CD,
0E+00,#3652,#49,7958e,A,F,Saliva,#2,+/+,0,#07,CD,
0E+00,#3653,#1051,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3654,#1052,7958e,A,F,Saliva,#2,+/+,0,#07,CD,
0E+00,#3655,#21,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3656,#65,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3657,#66,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3658,#68,7958e,C,F,Saliva,#5,+/+,0,#07,CD,
0E+00,#3659,#69,7958e,C,F,Saliva,#5,+/+,0,#07,CD,
0E+00,#3660,#28,7958e,D,F,Saliva,#7,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3661,#60,7958e,D,F,Saliva,#7,+/+,0,#07,CD,
0E+00,#3662,#1034,7958e,E,M,Saliva,#9,+/+,0,#07,CD,
0E+00,#3663,#35,7958e,E,M,Saliva,#10,+/+,0,#07,CD,
0E+00,#3664,#100,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3665,#101,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3666,#39,7958e,F,M,Saliva,#11,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3667,#82,7958e,F,M,Saliva,#12,+/+,0,#07,CD,
0E+00,#3668,#182,7958e,F,M,Saliva,#12,+/+,0,#07,CD,
0E+00,#3669,#84,7958e,F,M,Saliva,#12,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3670,#32,7958e,G,M,Saliva,#13,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3671,#34,7958e,G,M,Saliva,#14,+/+,0,#07,CD,
0E+00,#3672,#50,7958e,G,M,Saliva,#14,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3673,#51,7958e,G,M,Saliva,#14,+/+,0,#07,CD,
0E+00,#3674,#62,7958e,H,M,Saliva,#16,Dp(16)1Yey/+,1,#07,CD,
0E+00,#3675,#16,7958e,H,M,Saliva,#16,+/+,0,#07,CD,
0E+00,#3676,#30,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3677,#31,7958e,A,F,Saliva,#1,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3678,#1032,7958e,A,F,Saliva,#1,+/+,0,#30,HFD,
0E+00,#3679,#37,7958e,A,F,Saliva,#1,+/+,0,#30,HFD,
0E+00,#3680,#49,7958e,A,F,Saliva,#2,+/+,0,#30,HFD,
0E+00,#3681,#1051,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3682,#1052,7958e,A,F,Saliva,#2,+/+,0,#30,HFD,
0E+00,#3683,#21,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3684,#65,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3685,#66,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3686,#68,7958e,C,F,Saliva,#5,+/+,0,#30,HFD,
0E+00,#3687,#69,7958e,C,F,Saliva,#5,+/+,0,#30,HFD,
0E+00,#3688,#28,7958e,D,F,Saliva,#7,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3689,#60,7958e,D,F,Saliva,#7,+/+,0,#30,HFD,
0E+00,#3690,#1034,7958e,E,M,Saliva,#9,+/+,0,#30,HFD,
0E+00,#3691,#35,7958e,E,M,Saliva,#10,+/+,0,#30,HFD,
0E+00,#3692,#100,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3693,#101,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3694,#39,7958e,F,M,Saliva,#11,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3695,#82,7958e,F,M,Saliva,#12,+/+,0,#30,HFD,
0E+00,#3696,#182,7958e,F,M,Saliva,#12,+/+,0,#30,HFD,
0E+00,#3697,#84,7958e,F,M,Saliva,#12,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3698,#32,7958e,G,M,Saliva,#13,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3699,#34,7958e,G,M,Saliva,#14,+/+,0,#30,HFD,
0E+00,#3700,#50,7958e,G,M,Saliva,#14,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3701,#51,7958e,G,M,Saliva,#14,+/+,0,#30,HFD,
0E+00,#3702,#62,7958e,H,M,Saliva,#16,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3703,#16,7958e,H,M,Saliva,#16,+/+,0,#30,HFD,